Column_num,Color_white,Color_black,Icon_A,Icon_B,Icon_C,Layout_thin,Layout_thick,Layout_ratio,Menu_rectangle,Menu_float,Menu_convex,Shape_corner,Shape_round,Shape_chamfer,Header_none,Header_half,Header_full,Char_none,Char_half,Char_full,Total
1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,6
1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,6
1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,3
2,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,7
2,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,3
2,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,10
3,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,8
3,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,8
3,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,6
1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,3
1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,9
2,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,9
2,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,6
2,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,5
3,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,5
3,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,13
3,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,7
1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,5
1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,5
1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,5
1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,6
1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,8
1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,14
1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,8
1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,14
1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,4
1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,5
1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,4
1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,11
1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,7
1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,7
1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,11
1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,4
1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,7
1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,7
2,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,6
2,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,8
2,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,14
2,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,7
2,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,4
2,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,7
2,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,7
2,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,15
2,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,7
2,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,6
2,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,4
2,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,12
2,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,10
2,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,13
2,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,8
2,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,10
2,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,13
2,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,3
2,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,9
3,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,8
3,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,13
3,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,8
3,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,13
3,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,5
3,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,4
3,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,13
3,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,7
3,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,14
3,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,10
3,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,4
3,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,3
3,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,13
3,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,9
3,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,8
3,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,5
3,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,10
3,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,15
